TaskID,NextTaskID
0,1
1,-1
2,3
3,-1
4,5
5,12
6,7
7,-1
8,9
9,14
10,11
11,-1
12,13
13,-1
14,15
15,20
16,17
17,-1
18,19
19,-1
20,21
21,-1
22,23
23,-1
24,25
25,-1
26,27
27,-1
28,29
29,-1
30,31
31,-1
32,33
33,-1
34,35
35,-1
36,37
37,-1
38,39
39,-1
40,41
41,-1
42,43
43,-1
44,45
45,-1
46,47
47,-1
48,49
49,-1
50,51
51,-1
52,53
53,-1
54,55
55,-1
56,57
57,-1
58,59
59,60
60,61
61,74
62,63
63,-1
64,65
65,-1
66,67
67,-1
68,69
69,-1
70,71
71,-1
72,73
73,-1
74,75
75,-1
76,77
77,-1
78,79
79,-1
80,81
81,88
82,83
83,-1
84,85
85,-1
86,87
87,-1
88,89
89,-1
90,92
91,93
92,91
93,98
94,95
95,-1
96,97
97,-1
98,99
99,-1
100,101
101,-1
102,103
103,-1
104,105
105,114
106,107
107,112
108,109
109,-1
110,111
111,-1
112,113
113,-1
114,115
115,-1
116,117
117,-1
118,119
119,-1
120,121
121,-1
122,123
123,-1
124,125
125,-1
126,127
127,-1
128,129
129,-1
130,131
131,-1
132,133
133,-1
134,135
135,-1
136,137
137,-1
138,139
139,-1
140,141
141,-1
142,143
143,-1
144,145
145,-1
146,147
147,-1
148,149
149,-1
150,151
151,-1
152,153
153,-1
154,155
155,-1
156,157
157,-1
158,159
159,-1
160,161
161,-1
162,163
163,-1
164,165
165,-1
166,167
167,-1
168,169
169,-1
170,171
171,-1
172,173
173,-1
174,175
175,-1
176,177
177,-1
178,179
179,188
180,181
181,-1
182,183
183,-1
184,186
185,187
186,185
187,-1
188,190
189,191
190,189
191,-1
192,193
193,-1
194,195
195,-1
196,198
197,-1
198,199
199,197
